Tweet,Class
هههههههههههههه  ضاغطهم القيصر,N
مقهورين ومضغوطين من تميزه ونجاحه فدوه يروحوله,P
اتغارون من كاظم,N
اللي سبوا كاظم مو معروفين من وين هنا .. بدهم بتشهروا و خلاص,N
هذا جورج وسوف شبي عبالك مأخذ مخدرات لو بي شلل والعياذ بالله,N
"هء 
كاظم الساهر ملك 
ومن انتم",N
هههههه مضغوطين من كاظم😂😂😂,N
اخر واحد تكلم منو اصلن ما نعرفه ما عرفناه الا لما جاب طاري كاظم والباقين حاقدين كاظم مسيره فنيه وتاريخ بالحاله صح فيه عراقيين بس كاظم من بينهم نجم ذهبي براق,N
كاظم الساهر تاج على روسكم .. بيكم خير روحو صيرو مثلة .. بس حقكم لان انتو فشلة والفشلة يحاولون يشوهون سمعة الناجحين .. هه عبالك كاظم بحالهم .. كاظم مشغول بفنة وبجمهورة وبجولاتة ممشغول بكلامهم الفارغ,P
ارقى واحلى مطرب بالعالم كاظم الساهر,N
للاسف مضغوطين من القيصر وسفير الاغنيه العراقيه ولا اقول لكل من ذكر القيصر بسوء بان الشجره المثمره تقذف بالحجر يا حجر انتم لا شي امام القيصر الخلوق لذلك انتم مضغوطين منه,N
ليتك مادخلت مرت باباي في الفيديو تخرب ام الجو مي العيدان🤕,N
المضحك بالموضوع ان القيصر مايرد عليهم موووتو بقهركم هههههههه,N
"كلهم يقولون احنا سبب نجاح كاظم الساهر 

والقيصر ولا يدري عنهم ومطنشهم ومستمر بالنجاح والتألق",N
حرب الخليج كان نبيل شعيل بمصر !!,N
هَِّسهِ مَأّأّفِّهِمَتّ مَنِوِ صٌنِعٌ ګأّظّمَ هِخَهِهِهِهِ وِأّلَلَهِ جِرذأّنِ,P
بالله شوفو مين عم يتكلم عليه,N
,N
"اذا لم تحارب..  فاعلم انك فاشل 
اكبر دليل علي نجاح كاظم وامه مغطي عالكل هو الفيديو دا فعلا 👌👌",N
لو تقولون اللي تقولونه كاظم غير 💙💙,N
وياكرهي لام الحكي مي العيدان 🤓,N
الله عليك يانبيل شعيل شعلة الخليييييييج 🤗,N
الخليجين إلى باعوالعراق للأمريكان,N
#مضغوطين,N
الله يرحم صدام,N
القيصر فنان العرب واللي اسائو اله كلهم انتهو,N
عودليش الي يحكون علية من الكويت ومصر ولبنان لن هاي اكثر بلد ادغار لن كاضم والعراق تاج علا راسكم,N
حقودين عكاظم 😂,P
اتروحون فدوه لبو اجواد,P
جورج وصوف احبه,N
"الكويت و كل فنانيهم و اهلهم 
يرحون فدوة لبولة كاظم الساهر",P
"سلام الله عليك يااهل العراق، كل العرب صارو مايعرفوكم بعد ماكانو يتذللو لللعراق
. اليمن",N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,P
,N
,N
,N
,N
,N
,N
#تاج_راسكم ...,N
"كلها طلعت صانعه كاظم و الدول العربية كلها السبب بنشر صوت كاظم 😏 
والكوت راح يذبح نفسه كاظم اذا مدخلها 😂 آخر واحد ذبحني كلهم ميعجبو هو اصلا محد يعرفه 
بس والله ما ألوم هذوله من حجو عليه إذا ابن بلده يحجي عليه للأسف",N
"هه 😑😒.
شنو هذول من كل عقلهم شنو كاظم تافه .ماكو احد غيركم تافه 

ضلو احجو بكيفكم شمتحجون مضغوطييييييييين من الملك 
هههههههههههههههههاااي 😋",P
عندي عقيده بالحياة وهي صحيح دائما الانسان الناجح هواي ناس تكرها وتحقد عليه من غيرتهم من عنده ومن نجاحه هوه ابو وسام غير سفير الاغنيه العراقيه غير هوه ملك الاحساس ومدرسه الحب كل الي حجه عله كاظم الساهر مضغوط من عنده ترحون فدوه اله والصوته والاغانيه عراقي اصلي واموت عليه 👍,N
من هذا الحيوان الايل للانقراض والله هزلت شعيط معيط شداد ماله بالخيط هاأااااأأأاأأأ,P
"مصرية وأخذت جنسية كويتية صدقت نفسها 
انقلعي بلدك",P
كلهة مضغوطة من كاضم,N
يولو والله لو انوب ي هاي المطربين لطلعتو هسة مصيرون مثل كاظم لو الف سنة اووك مضغوووووووووطين فديتك يا قيصر العالمي,N
سؤال ليش كل الفنانين وانصاف الفنانين يمنون على كاظم انا طلعتك انا عملتك انا سويتك انا اكلتك بالناقص يقولون انا ربيتك وجبتك للحياة ايش هالناس الوقحه عملت خير كبه بالبحر مو لازم تطلع على ظهر فنان مين من كان وتبغى ترد فنه ونجوميته لك باي طريقة ما يهموني كلهم فنانين وسخين بس عيب والله الكلام اللي يقول ولا المشكلجية نضال الاحمدية لها فضل على العالم كله ولا كان اللحين الكوكب فاضي مدري بشو ههههههههههههههه,P
شكد مضغوطين هههههههه,N
ههههههههههه هاي طلعتو كلكم جايبيه ومطلعيه ومسويه هسة مفتهمنه منو سواه لكاظم لبنان ونضال الاحمدية لو الكويت وهاي الاعلامية بالمركز الثاني القذرة لو السعودية شنو السالفة احجو غيرهه حته ع الاقل الاحمق يصدقكم لان حته الاحمق حيشوف تناقض كلامكم وغباءه,P
انتي الي ولا اشي يا حقوده نضال وكلكم رح تفقعو,P
الي استحو ماتو.يا جبل ما يهزك ريح كااظم 💖,N
شطلعت هاي كله طلعت مسويه كاظم الساهر عمي كاظم يسوى روسكم وفنان نفتخر بي,N
كاظم الساهر the best واحلى تحيه من الجزائر الى احلى شعب العراق,N
كل الدول تدعي الفضل على كاظم لو لم يكن كاظم ناجح لم يدعوه للغناء في دولهم لكنهم رأوه مطرب ناجح واستفادوا منه كثير والشجرة المثمرة دائما تقطف بالحجارة,N
"كاظم الساهر ضاغطهم 
لو اتتك مذمتآ من ناقصآ
فعلم انته كاملو",N
مضغوطين منة لان احسن منهم 😍,N
,N
,N
,N
,N
,N
,P
,N
هذا كلام مايرقى لمقدم مثقف,N
اسمه عراقي ويهز الارض تخسه الكويت وشعبها لي ما يحب كاظم الساهر,P
كلهم يغارون من كاظم الساهر,N
انتم كلكم ما تعرف,N
انتو اتغارو منه وبس,N
لكم شنو كل هذة تدعي صناعة كاظم الساهر.. كاظم اسطورة اكبر منكم يا جرابيع اول مرة اشوف هل وجوة,P
ههههههه شلون غيرة قاتلة من كاظم وكاظم اشوكت اشتغل بالكويت هو اول ما طلع بالتسعين للأردن  والكويتين منتقمين منه لان  دعوا لهلا فبراير ورفض,N
"هههههههههههههههه لبنان سوت كاظم و جورج سوا كاظم و كمان الكويت سوت  كاظم و  مصر كمان سوت كاظم ههههههه يا اخي  مو عشان شي بس احكو حكي يدخل المخ  بس اقول للموسيقار كاظم
حسدو الفتى اذ لم ينالو فضله     فالقوم اعداء له و خصومو
كضرائر الحسناء قلن لوجهاا      حسدا و بغضا  انو لدميم",N
,N
,N
كاظم الساهر من سنة 87 هو نجم ومشهور وكان الفنان الأول بالعراق جورج يكول اني جبته وعبد إلله هم هو جابة كافي كذب منافقين موتو بغيظكم فنان عالمي كاظم شأتم أم ابيتم,P
قيصر دوله وعلم,N
,N
,N
اصلا كل هذوله الي بلفيديو كلهم مضغوطين من كاظم الساهر الاسطوره القيصر فديته والعراقين والعراق يعشق كاظم الساهر وكل هذوله الي حجو علا كاظم الساهر لو يموتون ما يوصلون لربع الي وصله كاظم الساهر هو انسان راقي ومحترم ورقيق وحساس وخجول وما اكو مثله بلدنيا كله وشهرته واصله لكل الدول الاجنبيه,N
ههههههه..الله ياخذكم جميعا..تصيرون قربان للقيصر,P
وش ذَا العنصريين 👀 ؟؟!!,N
جورج وسوف سكران,N
صوت جميل كاظم الساهر,N
شو القصة الكويت تقول صنعنا كاظم لبنان تقول صنعنا كاظم مصر تقول صنعنا كاظم 😕كاظم مشروع اشتراكي مشان ما حدا يزعل,N
تروحلةةة فدوة🙃😩,P
"شـْﮩ✧✍ـنو هالتناقض يعني هسه منو ساعد كاظم بالنجاح لبنان الكويت مصر سوريا؟؟؟ تره مفهمت 🌚
انتو مقهورين من نجاحاته 😏😏",N
ليش مضغوطين لان احسن منكم كاضم روعه واحساس والي يحجي عليه مومن الناس,N
الغيره قاتله تبقون تحت وكاظم قمه,N
تاج راسكم كوه تحياتي ابو وسام,N
احسدكاظم النا كلاها مسويتك كاظم هوا شال روحه اب روحه وصوته عظيم وروعه,N
هاذا العراقي بدل ماكول زين كاظم يوكع بي كاظم روعه وفنان ناجح,N
والله غيرة من كاظم الساهر أنا أظنه احسن فنان في هذا الزمان,N
يعني ماكو بس كاظم  موتو بحقدكم يبقى الأول والقيصر,N
كاظم صنع نفسه بنفسه بصوته واحساسة بس إنتوا مقهورين لانو أغانيه من الحانة متتقبلون الفكرة واحلى شي لمن يگولون نفس الاحساس حتى الإحساس بيه انواع  استغفر الله مو إنتوا الي تحجون ع القيصر واذا رفض لحن محمد عبده ومنو محمد عبدة اصلا,N
مضغوطين من القيصر ليش هوه كل فنان ينجح لازم يضل طول عمره يشكر ويتملق ههههههه,N
"بس بحب أقول لكل فنان قال صوت كاظم ماحلو مع احترامي لكم أنتم مشهورون بس ببلادكم كاظم الساهر مشهور بالوطن العربي كله محمد عبده فنان عظيم بس ببلده..انَّا من كنت صغير وانا اسمع لكاظم حتى صاروا اغانيه بالنسبة الي ذكريات حلوة
كاظم الساهر ياجبل مايهزك ريح ....",N
مهم فوتو ع قناتي في فيديوهات احلى من هاي,N
ولكم انتو الي بتحكو عن كاظم انتا وصل ل كندرتو اول بعدين تعال احكي عنو,P
كاظم الملك,N
و خصوصا هاذا ابو الابيض و دي املص ركبتة.  هاي ام شعر البنفسجي ما كتلة دك و فلك و الله املصهة مل ص حركة عل قلبكم كاضم يبقا كاضمنة و كل الناس تحب. غصبن عليكم حركة جي ما عندكم مثل صوتة و شهرتة يا وصخين ياشباب و يا بنات منو وياي بل حجي الي كلتة😐,P
كلها تغار والله,N
الله يالدنيا صار ابو وسام صوت العرب بالفن صوته مو زين ولا يقدم شيء خرافي ومحمد عبده يقول لو صوته احسن شوي كان ازين ي يماني ي عبدو كاظم يعتبر لك استاذ وانت طالب بعالم الفن هو شامل ملحن وموزع وشاعر وصاحب خامه صوت فريده واحساس مرهف والثاني يقول كنت مثل اعلى لكاظم ي عمي روح تعالج والله انك بالفن ماتجي جاكيت كاظم بس عجبتني ي بو وسام ماترد على هالحسده ضعفاء الانفس فاشلين انت العالمي ي بو وسام فديت روحك واحساسك وفنك,P
وهمه ذول منو ويحجون عله كاظم الساهر اكثرهم اول مره اشوفهم شوفوا الممثلين الكبار والمغنين الكبار شيكولون علي وشلون  يحمدون بي وتعالوا انوب التفتوا لهاي القذارات شجاي تكول شنو الكويت شنو لبنان شنو الفضائيات  سياره هوه والدول اشتركت حته سوته هذا فنان فنان ياحوش,P
"يرحون فدوه لتراب الي يمشي علي كاظم الساهر
# مضغوطين- من -الملك",P
"ههههههههههههههههههههههههههههه شكد شايلين بكلبكم حقد !!!!
لك عمي كاظم الساهر يعادل فنكم وشهرتكم من اصغر راس بيكم الى اكبر راس حبيبنه استاذ كاظم القيصر ..
اني+كاظم= منطقة الحرية😍",N
اجمل شي بالموضوع انوا كاظم مايرد عليهم وحجيهم محد يسمعة والناس يحبون كاظم اكثر واكثر.,N
انجبوا,N
لو صوت كاضم تافه جا الناس ماتت عليه ياغبي,P
هنانة وكافي كاضم لا تجيبون طاري ولكم كاضم أصل الشرف,N
أنعمت عينكم غيرانين منة من شفت فيديو انقهرت لأن يحجون علة كاضم,N
محمد عبده قال رأي باحترام بدون تقليل عكس البقيه,N
كاظم الساهر صوتو يلي سواه وهي العالم غيرانين منه عالم تافها,P
"شنو الهدف من الفيديو؟ 
والله القيصر ما يزغرو هالكلام",N
كاظم الساهر الي شهره هو صوته العذب والي يحجي عليه هذا حاقد ويغار من كاظم,N
حاقدين على نجاحه وانسانيته,N
شوف المصخم شيكول كاظم اشتهر بالواسطه 😂😂😂😂😂 هسه المهم مشتهر وجمهوره بكل العالم انت ليش مضغوطط 👌👌👌,P
"هههههه والله ضحكوني خصوصا ام شعر لازرق مدري بنفسجي وهذا الي يكول لوصوته جان احله والي يكول متخصص حروب مبين عليه كاتلته الدودة
هذا كله حقد وكره   مع احترامي للكويت هو انتوا كلكم نفرين مخربطين عشيرتي اكثر منكم",P
العراق تاج راس الكويت احنا منريدكم حاقدين وكلبكم اسود,N
مفتهمت 😕 هسه كاظم اشتهر بسبب لبنان لو الكويت لو جورج وسوف  لو منو لو شنو شبيهم,N
راح يموتون من الغيره  ... القيصر كاتلهم 😂😂😂,N
يعني هذولة كولهم مضغوطين وغيرانين من كاظم الساهر لان انو هوة عراقي ونجح اني اريد اعرف شي واحد ليش كوووول البلدان تكره العراق ويضوجون ويضايقون من واحد عراقي ناجح  ...........#_العراق -العريق -تاج ع الرأس ....وكل فنان عراقي تاج ع الرأس,N
اي واحد ناجح يطلعلو اعداء ...كاظم انسان ناجح و حكيهم مارح ينفي نجاحه,N
هاي شنو كل الدول العربية صارت هي الي مساهمة بانطلاق كاظم للفن لو كل هذا غيرة و اصلا الكويت جزء من العراق ع فكرة صوت كاظم الساهر اسطورة ماتنعاد واتحدى اي شخص عنده احساس وعذوبة كاظم بالغناء خل تاكلكم الغيرة,N
كلهم حاقدين عالقيصر,N
المهم أن كاظم الساهر أنسان ذكي واستطاع الوصول الى اعلى القمه ولم يستسلم للحروب التي كانت ستنهي مشواره الفني.,N
ههههههه ضاغطهم يلقيصر,N
لو بترجع ايام صدام لكنا قهرنا امريكا واسرائيل طبعا وبالمناسبه كاظم صنع نفسة بنفسة فنان كبير ومحترم,N
هذا المزيعه الكويتية اكللها ططططيييطططط .بطلو الحقد يا كويتين راح ينتشر بينكم مرض الكساح من كثر الحقد,N
كلها تكول كاظم انطلق من بلدنا.. تفو على بلدانكم تروحون اله فدوه.. الكويت والي برجلي هه كاظم كلكم يخليكم بجيبه,P
اشو كل دول طلعة مسوية كاظم الساهر شنو هل الانضغاط,N
هههههه محد ميت ع كويتكم الرجال عنده شغل بل كويت وراح وبعدين احنه مالنه شغل بصدام حسين حته احنه جنه متأذين منه ولو بيكم خير وتحبون بلدكم جان حاربتو مو رحتو شردتو للسعوديه ماجد المهندس طبعاً ترضون عليه لئن باع بلده العراق وماجد المهندس احنه ما نعتبره فنان عراقي هوه باع بلده العراق ومستحيل احنه نحبه فلا تجاوزون على القيصر اوك...,N
مضغوطين من كاضم,N
"😂😂ما قتلني غير هذا الي اخر المقطع رقم 1 
ولك شجابك على كاظم ياجماعة الخير هذا شسمه بس أريد اسمع صوته لسة ما سامعته",N
ملة الكفر واحده,N
بس كاظم الساهر سفيرالاغنيه العربيه غصبن عليج وعلى نبيل شعيل,N
القيصر وبس,N
"كلهم طلعو اصحاب فضل ع كاضم 
بس صارو يتوسلون بي يجي يغنيلهم 😂",N
كله يتلكك قدام نجاح كاظم,N
"اللي ما يطول العنب حامض عنه يقول 😭😭
شايفين الغيره شو بيعمل 😂😂
#القيصر_خط_احمر 👌",N
من الاخير علمود عراقي كله تغار منه عمر العبيد متحب اسياده,N
الكويت هههههههههههه انوب الكويت علينه گبر اي والله گبر,N
تروحون فدوة لخصاوي كاظم,P
"هههههههههه كل الدول ينكر فضلها
😆 كاظم فنان العرب سامعين 😏",N
تروحون فدوة لكاضم الساهر,P
كلهم ما يوصلون شعرة من كاضم,P
بينت السالفة كولي يا مذيعة لان حاربتوا الكويت نكرهكم هههه على شنو هل مقدمات الي ما اله داعي,N
"الي مايطول العنب حامض عنه يقول.......
هذول مايوصلون جزمة كاضم.",P
نريد نعرف يا دولة فضلها على كاظم.كلها تصيح فضلنه على كاظم,N
"يبقى كاظم هو قيصر الغناء العربي رغما"" عن انفكم..",N
ابو وسام علم ما يرد على قطيع غنم,P
كاضم سوه نفسه بنفسه لا رويشد لا كويت لا بطيخ سوووه,N
نبيل شعيل جلد الكاولي كاظم الساهر جلد هههههههههههههههه,P
الكل عندكم افضال كفاية كذب فشلت تمسحو  فشلكم هو ناجح,N
ولله لو يموتون ما يوصلون لاضفره,N
"ههههههه... فعلا القمة دائما مستهدفه 

بس المشكله ما عرفت اي دوله سبب نجاح كاظم لبنان ولا الكويت",N
محمد عبده صوته مو حلو مستنسخ ومثله كثير .غير مميز اطلاقا.هو صناعة امراء وشيوخ لااقل ولااكثر .احسن منه خالد عبد الرحمان بكثير,N
وسوف كيدخل ويخرج فالكلام .محشش؟؟؟!!!!,N
ماضحكتني غير هاي تكول ماريدة يكش الكويت وج منو مكلبكم انتو ههههههههههه ماتدري اذا يريد يشتري الكويت كلها اله ههههههههههه انا كل كلامهم ماعجبني بس كلام هذا الاسود السمين الي كال لو يحب العراق مايدخل للعراق احسه منطقي,N
حسد وغيره 😜😜,N
وكاضم ابد ما طلع وهام احد,N
باع هايه فورت دمي العوبه الكويتيه  شنو هالكره,P
همزين كاظم مو مثل احلام جان عليمن يرد على واحد على اثنين طلعت كلها شايلة بقلبها منة,N
,N
,N
,N
,N
هسة منو الي صعد كاظم للنجومية ياهو الي تلزمة و كال  أحنة الي سوينا احنة الي اكتشفنا والله يا الله 😏,N
ما احد يجي بذرة مثل ثقافة كاظم ورقة كلام اووو يعجزلساني,N
"كاظم فنه فرض نفسة ع الجميع
لان ببساطه كاظم احساس صادق+ مع +موهبة +مع ثقافة",N
اي مو كاظم الساهر يموت اذا مادخل الكويت بس انتو لنو كاظم مويد لصدام ما اتريدونة تريدون بس ماجد المهندس لنو مايعترف بلعراق يعترف بس بلخليج,N
هذول لكويت شبيهم لغيركم هالكلام واللةهمةموهيج اصلن ناس أخلاق ومحترمين ويحبونةبس هالمذيعةوغيرهم من لكويت ترةواللةناس ذهب الف مليون تحيةالهم,N
هسه ياربي كولهم يكولون احنه سبب شهرته ماعرفنه منو لصدوك بأختصار كاضم يسواكم,N
ههههههههههه واللةضاغطهم وعلي ابوسام,N
لو تموتون ما توصلون آلة موتو بغيظكم كاظم علم وسفير الأغنية العربية غصبا على الجميع,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
بالنسبه لهائل المنتقدين لكاظم الساهر. منهم امام اسطورة وامبراطورية كاظم الساهر وهذا يكفي,N
كاظم الساهر امبراطورية. بحد ثاتها واسطورة لا تتكرر,N
كاظم الساهر أكثر من مرة يذكر لبنان عيب ارتقي نضال الأحمدية كنت أحبك الآن اتضحت الحقائق. ....لكل نجاح ضريبة. .واهنيك ياكاظم بهذه الردود من قبل الفنانين أثبتت اكتساحك الهم ...,N
يروحوله فدوة,P
تااج راسهم كااااظم,N
طيط عليكم😂,N
"ههههههههههههه
استغفر الله 
هسة حرنا منو طلع كاظم اللبنانين يكولون احنا الي نجحنا كاظم والكويتيين يكولون احنا وعبدلله الرويشيد هو الي ساعده وجورج وسوف هو الي ساعده 
كل من يكون اني 
طبعآ اي شخص يحتاج الي يدعمه للوصول لشي ما وهو لو مو موهوب جان موصل ابد فبطلوا الحقد 
وثانيآ كاظم شنو دخله بغزوا الكويت قابل هو الي حرك الجيووووش مثلآ !!!

**ربي يهدي الجميع",N
المقدمة اللي تهمت العراق معتدي لا تنكرين الحق العرق لم يكن معتدي الانظمه من شعلت فتيل الحرب والقضيه واضحه صدام دس من امريكا لان ورقة صدام احترقت خلص في امريكا عام 1991 ولكن اقامة الثورة الشيعيه في هذه الاثناء مما دفع صدام بأرسال مرسول للسعوديه خوفا من ان تحكم الشيعه في العراق وقفوا العدو على العراق هذه حقيقه واضحه لدى كل العراقيين والكوتيين لا تكولين احنا معتدين الكويت هي من اعتدت ارجعي الى الملفات,N
"للحين لم أرى فنان ذو أخلاق مثل كاظم ابدا 
قسم إن فيه تواضع رهيب وخصوصا في الرد على من شتموه.",N
والله ظاغطهم,N
همه يكرهو بس هو يحبهم وما عنده حقد عل اي واحد منهم وبس حظوره وشخصيته تكفي انت يكون الرقم واحد في كل شي,N
ههههههههههه خاب دنجبو ولصمو والله احسن,P
مضغوطين من الساهر😂😂😂😂😂,N
و الله عاد راح يموت كاظم الساهر على الدخول للكويت .. مجرد وحدة حاقدة .. جزمة كاظم الساهر تسواك انتي و الي دفعك ان تتطاولين على فنان علمكم كيف تقرأون الشعر .. يا ضبان البر.,P
,N
,N
هذا رقم 4 والله ضحكني او ضحك الجمهور حبيبي كاظم القيصر احلى صوت او رقم 3 ماكو داعي هذا كلامك الفاضي فديتك ياقيصر يامحترم 😍😍😍,N
موتو قهر كاظم حبيب الكل لم توصلو الى مستوى كاظم الا بعد 100عام خصوصا هذا الغرلاا كاظم عمل  لطفال العراق مالم تعمله انت في بيتك ياغبي,P
كاظم هو الفن العربي لا يحتاج شهادتكم ها اليوم حصلتوها بعد صدام وكاظم تاج فوق روسكم,N
وانتي منو طلب رأيج متولين مو امثالج الي تقيمي القيصر وشنوو الكويت واللة الشغلة الزينة الي سواها صدام حسين  بحياتة انة احتل الكويت,N
"هسة مفتهمنة منو الي سوة كاظم 
هههههه
تاج راسكم",N
مضغوطين,N
هههههههههههه گلُ آلُيَ حٍـجٍۆ علُيَہ حٍـثْآلُہ ۆميَستٌآہلُۆنْ حٍـدِ يَردِ علُيَہم ۆخـآصٍہ 😂 آخـر ۆآحٍـدِ آلُقَميَصٍ آلُيَ لُآبْسہ يَسآۆي خـيَمہ گبْر لُفَگ تٌرۆحٍـ فَدِۆہ لُگآظّم ۆآسمہ,P
نبيل شعيل حمة زايد ههههه يبي يدخل للكويت بوقت الغزو ابو ثرب,N
,N
,N
,P
,P
,N
,N
,N
,N
,P
,N
,N
,N
,N
,N
,P
,P
,N
,N
,N
,N
اليسا وبس والباقي خس 😅 😅 😅 😅,N
ما شاء الله هسه صارت كلهه الي صنعت كاضم الساهر وكول الدول مسويه فضل براسه 😂 وهذا صراعكم اكبر دليل على ان كاضم الساهر فنان ناجح وخلوق قبل كلشي والاول بالعالم العربي ومضغوطين منه 😌✌🏼️,N
يله همه العراقيين ديحجون على كاظم الساهر بقت على الخليج ... مقهورين من صوته واحساسه بالغناء ومقهورين منه لان ثكيل ... تروحوله فدوه,P
هاي طلعت كلهه امسويه كاظم لعد عبدالله روشيد ماسوه روحه واشتهر مثل كاظم حاقدين عابت,N
كلهم مضغوطين من القيصر الله يساعدكم وخاصة هذا المسكين الي مسوي نفسه مطرب هو انتة منو سامعلك,N
"حبيب قلبي كاظم، كاظم وبس والباقي يوكل خس",N
غيره منه,N
وكاظم عمري ما شفته اساء لفنان,N
البرتقاله جميله ... هههههه,N
اصلا اني الي سويت كاظم الساهر وهذا الي بالفديو الخامس ابو النجوميه شوفوا من يحجي شوف والحقد الي بعيونه ومحمد عبده خطيه من سأله نيشان غص ههههههههه والثاني نبيل شعيل ولك انت مو صاحبه جنت شكلبك لازم كاعد ويا مشعان وهاي الثانيه او هذا الثاني الي بالفديو التاسع تره انت شيميل وكلها تعرف لكن احنا العراقين الحمدلله شعب مثقف وواعي واخلاقه عاليه,N
"ههههههههههههه صدك ضحكوني زين انتو يالكويت ويا لبنان ليش ما صنعتو اسطوره مثل القيصرمن بلدكم ليش تروحون تصنعون مطرب عراقي
والكعبه مساكين كامو يركضون بايديهم ورجليهم وما ملحكين بأبو وسام العلم ههههههههه
وانت ياسعدون عود انت الجبير شلك بهالسالفه هاي دخيل اللاه واللو واللوه مالتك هههههه
اما صباح اللامي فاللهم إني صائم اعتقد وصلت الفكره",P
,N
ههههههههههه تروحون فدوة لكاظم,P
يرحون فدوه لكاظم الساهر 💖❤👌👍 تاج على رأسي 👑,N
لحقيقة ورة كل هاي لاتهامت هي وحدة وبس لانة عراقي هاي لحقيقة لاولى ولاخيرة ولو كان مصري او غير جنسية كان شفناهم يصفقونلة ويعملونة نجم وماكو مثلة وثانيالان فنان ناجح وهمة ماوصلو للي وصلة فأكيد عامل لغيرة يشتغل ولحسد بصورة اوضح ولغيرب بلموضوع هوة اختلاف لاراء يبيلك مدى كذب كل هؤلاء لان ماعرفنة منو شهرة لحكومة لعراقية لو لاعلام لبناني لو لكويت لو عبد الله رويشد لو جورج وسوف لو منو محد يعرف بس الله سبحانة وتعالى,N
ههههههه احس واضح كلهم مقهورييين منه,N
"كاظم وبس 






كاظم وبس 





كاظم وبس







كاظم وبس







ّّكاظم وبس كاظم وبس

ّّّّّّّّ",N
كي ام لبنان,N
كاظم القيصر فنان العرب قيصر الفن,N
ماشاءالله عل العرب حلو مشكلة فلسطين والحروب يلي ببلد المسلمين وعم تحكئ عن الفلتنا,N
هاي رقم ثنين ناطينه فلوس حته تحجي هيج,N
نبيل شعيب غيااااار ياويلي ضحكني كنو مرا عم تحكي والله,N
كل الي عاشرو استاذ كاظم الساهر يكولون..احلى باستاذكاظم انه لا يتكلم ولايذم احد,N
تروحون فدوة لكاضم الساهر هسة صار القيصر موخوش آدمي يازبالت الخليج والكويت أستاذ كاضم هوة سوة نفسة بصوتة الراقي واخلاقة الجميلة ويكفي هوة كراااااقييي والعاجبة هلة بي والمعاجبة يلطخ راسة بلف حائط,P
,N
,P
,N
,N
,N
,N
تن رقم ٢ دكلي خره من انعل ابوج لابو حتى الكويت ونبيل شعيل اكل تبن,P
لا يرضي العباد إلا رب العباد يا كاظم هذه هي الشعوب العربية لا يعجبهم العجب,N
بس الفنان الكبير سعدون جابر تكلم بمنطق واللي يعرف العراق بهذيك الفتره والشعراء السياسيين امثال الكبير الرائع مظفر النواب كانوا يكتبوا لسعدون وياس خضر ولكبار المطربين لهذيك الفترة و اللي يعرف حن وانا حن والبنفسج رح يفهم كلامي ...,N
هؤلاء يريدون يشتهرون بأنتقاد كاظم الساهر خصوصاً الكويتي لا أعرف  أسمه أصلاً لأنه رخيص,P
كاظم الساهر اعتبر جورج سلطان طرب وعمرو دياب استعراضي.....شوفو رأي جورج رقم 6....حيل يستاهل كاظم😂😂😂😂😂,N
هذا واقع الجنوب - طور جلفي كيولي تعبان بعيدون عن اللغة العربية ياحشدويه,N
العراقي يصنعه  العراقي,N
كاظم نجح في جميع البلاد العربية ... وجميع الناس حتى الفنانين اعجبو به فهل عليه ان يظل 24 ساعه يشكر فلان ابن فلان ويشكر لبنان لانها صنعتني واشكر الكويت لانها اطعمتني واشكر السائق لانه فتح لي باب السيارة ..ماهذا الهراء,N
مظغوطين هههههههه,N
تضربي ولي اعﻻمية كتير سخيفة,P
اخرسوووووو كاظم الساهر رااائع وكتير اغانيو راكزة ورااااااقي اوك,N
"لـم يجــدووو في الـذهــب عيبـاً فـ قـالـو بـريقـه يتعـب العيـون ،، كلهم مقهورين وغيرانين من نجاح كاظم وصلووو قد ربع النجومية والشهرة  يلي وصلها حبيب الملايين كاظم الساهر",N
"كاظم الساهر  مطرب وفنان ناجح ونحنا منحبه كل سوريا بتحب كاظم وكل العرب فنان محترم خلوق شريف،،،، كاظم اجمل صوت بالعالم ،،،  ماحدا بيطلعله يحكي عليه ويجيب سيرته،،، واذا اتتك مذمتي من ناقص فـ هي شهادة على اني كامل ،،، كل اناء بما فيه ينضح ،،،،",N
"كاظم الساهر تاج راسكم يكفي بان هو سفير الاغنية العربية
وانتي يالاعلامية الكويتية يدش او مايدش فهو تاج على راسكم وانت نبيل اكبر كذاب هوانتم انهزمتو مثل النسوان",P
ههههه مقهوريييين,N
كاظم فنان مبدع  مطرب روعه بمعنى الكلمه واللي ينتقده  غيران  منه,N
هي بس غيرة لان شتهر هوة صوت جميل وشكل جميل,N
كاظم الساهر تاج على راسكم,N
مع الاسف مات الضمير تبقى عراقي وع راسي يا ابو وسام,N
"هذا الي تسلسله 1 منو الي قميصه كأنه برشوت 
اني عراقي مااعرفه 
كاظم فنان راقي",N
شلون شوكولات مكيفين يحجون ع كاظم وانتو منو يسمعكم ههههه ابو البرتقاله هع هع هه,N
كنت احب وائل جسار بس حكا. ع كاظم. الساهر. كرهته,N
طلعت الفنانين كلهم غيرانين من كاظم الساهروحقودين,P
